target_market,score,cover_image,sugar_result,fiber_result,sodium_result,sugar_per_serving,fiber_per_serving,sodium_per_serving,calories_per_serving,serving_size,index,url
Child,44,http://cerealfacts.org/media/cereal_images/KelloggFrootLoopsMarshmallows.jpg,48%,7%,379,14,2,110,110,29,113,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=113
Child,42,http://cerealfacts.org/media/cereal_images/KelloggFrootLoopsRegular.jpg,41%,10%,466,12,3,135,110,29,114,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=114
Child,52,http://cerealfacts.org/media/cereal_images/KelloggFrostedFlakesReducedSugar.jpg,27%,10%,533,8,3,160,110,30,115,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=115
Child,42,http://cerealfacts.org/media/cereal_images/KelloggFrostedFlakesRegular.jpg,37%,3%,467,11,1,140,110,30,116,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=116
Family,48,http://cerealfacts.org/media/cereal_images/KelloggHoneySmacks.jpg,56%,4%,148,15,1,40,100,27,117,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=117
Adult,56,http://cerealfacts.org/media/cereal_images/KelloggLowFatGranolaWithRaisins.jpg,28%,7%,250,17,4,150,230,60,118,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=118
Adult,54,http://cerealfacts.org/media/cereal_images/KelloggLowFatGranolaWithoutRaisins.jpg,29%,6%,255,14,3,125,190,49,119,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=119
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBigBite.jpg,21%,10%,0,12,6,0,200,58,120,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=120
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBiteSize.jpg,20%,11%,0,11,6,0,190,54,121,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=121
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedBlueberryMuffin.jpg,22%,11%,0,12,6,0,190,55,122,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=122
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedCinnamonStreusel.jpg,22%,11%,0,12,6,0,190,54,123,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=123
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedMapleBrownSugar.jpg,22%,11%,0,12,6,0,190,55,124,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=124
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedStrawberryDelight.jpg,22%,11%,0,12,6,0,190,55,125,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=125
Family,82,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatUnfrostedBiteSize.jpg,0%,15%,0,0,8,0,190,55,126,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=126
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedMixedBerryTouchOfFruit.jpg,18%,11%,18,10,6,10,190,55,127,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=127
Family,54,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatLittleBitesChocolate.jpg,22%,11%,382,12,6,210,190,55,128,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=128
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatLittleBitesCinnamonRoll.jpg,22%,11%,0,12,6,0,190,55,129,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=129
Family,74,http://cerealfacts.org/media/cereal_images/KelloggMiniWheatFrostedOriginal.jpg,20%,11%,0,11,6,0,190,55,130,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=130
Adult,58,http://cerealfacts.org/media/cereal_images/KelloggMueslix.jpg,25%,9%,255,14,5,140,200,55,131,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=131
Adult,48,http://cerealfacts.org/media/cereal_images/KelloggProduct19.jpg,13%,3%,733,4,1,220,110,30,132,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=132
Adult,50,http://cerealfacts.org/media/cereal_images/KelloggRaisinBranCrunch.jpg,36%,8%,377,19,4,200,190,53,133,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=133
Adult,54,http://cerealfacts.org/media/cereal_images/KelloggRaisinBranRegular.jpg,31%,12%,356,18,7,210,190,59,134,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=134
Child,38,http://cerealfacts.org/media/cereal_images/KelloggRiceKrispiesFrostedKrispies.jpg,40%,0%,367,12,0,110,110,30,135,http://cerealfacts.org/cereal_nutrition_scores.aspx?id=135
